State,Latitude,Longitude,2008 Number of Fires,2008 Acres Burned,2009 Number of Fires,2009 Acres Burned,2010 Number of Fires,2010 Acres Burned,2011 Number of Fires,2011 Acres Burned,2012 Number of Fires,2012 Acres Burned,2013 Number of Fires,2013 Acres Burned,2014 Number of Fires,2014 Acres Burned,2015 Number of Fires,2015 Acres Burned,2016 Number of Fires,2016 Acres Burned,2017 Number of Fires,2017 Acres Burned,2018 Number of Fires,2018 Acres Burned
Oregon,43.92,-120.32,1766.00,136572.00,1488.00,100668.00,1315.00,93731.00,1151.00,285712.00,963.00,1256049.00,2848.00,350786.00,3087.00,984629.00,2588.00,685809.00,1245.00,219509.00,2049.00,714520.00,2019.00,897263.00
Pennsylvania,40.59,-77.21,733.00,764.00,630.00,6132.00,583.00,3482.00,204.00,636.00,683.00,3157.00,639.00,1788.00,877.00,4519.00,831.00,4473.00,871.00,12245.00,537.00,1652.00,1276.00,3614.00
Puerto Rico,18.22,-66.34,11.00,457.00,0.00,0.00,0.00,0.00,775.00,13195.00,0.00,0.00,750.00,4716.00,3647.00,16292.00,947.00,4477.00,113.00,486.00,116.00,3405.00,25.00,389.00
Rhode Island,41.68,-71.51,119.00,132.00,49.00,45.00,30.00,23.00,30.00,27.00,49.00,41.00,7.00,27.00,1.00,0.00,86.00,132.00,79.00,57.00,31.00,30.00,32.00,14.00
South Carolina,33.86,-80.95,2626.00,15751.00,1526.00,7663.00,1916.00,7568.00,2703.00,16141.00,1799.00,10202.00,1667.00,7082.00,1374.00,8312.00,976.00,3800.00,982.00,3804.00,1092.00,11041.00,1136.00,9939.00
South Dakota,44.30,-99.44,957.00,8936.00,823.00,10056.00,1078.00,12461.00,1248.00,97230.00,2784.00,274606.00,889.00,4475.00,918.00,13127.00,611.00,8478.00,1216.00,81561.00,1420.00,77386.00,433.00,5027.00
Tennessee,35.75,-86.69,1437.00,23431.00,1448.00,18704.00,1858.00,22149.00,1170.00,13812.00,1158.00,19948.00,424.00,7080.00,1249.00,156391.00,611.00,8478.00,2165.00,88038.00,593.00,6949.00,341.00,3763.00
Texas,31.93,-99.13,16713.00,1570586.00,16614.00,753261.00,6748.00,210320.00,3470.00,2722623.00,10620.00,179602.00,70.00,10743.00,9677.00,131138.00,9272.00,184418.00,9300.00,356680.00,9827.00,734682.00,10541.00,569811.00
Utah,39.55,-111.56,999.00,28490.00,1136.00,112753.00,1050.00,64781.00,1102.00,62783.00,1534.00,415267.00,1276.00,70282.00,1035.00,28255.00,930.00,10203.00,1078.00,101096.00,1166.00,249829.00,1333.00,438983.00
Virginia,37.77,-78.17,1221.00,40653.00,920.00,8002.00,868.00,8369.00,831.00,20114.00,583.00,46481.00,482.00,4418.00,736.00,10446.00,631.00,6574.00,580.00,41441.00,1522.00,20194.00,1266.00,15224.00
Vermont,44.05,-72.71,124.00,168.00,84.00,192.00,81.00,86.00,11.00,14.00,92.00,405.00,124.00,281.00,53.00,91.00,102.00,346.00,150.00,386.00,55.00,50.00,59.00,113.00
Washington,47.17,-120.33,1303.00,147264.00,1976.00,77250.00,870.00,56820.00,993.00,17480.00,1342.00,259526.00,1527.00,152603.00,1480.00,386972.00,2013.00,1137664.00,1272.00,293717.00,1346.00,404223.00,1743.00,438834.00
Wisconsin,44.27,-89.62,895.00,1050.00,1640.00,3746.00,1318.00,2224.00,735.00,719.00,1536.00,288.00,671.00,9196.00,613.00,3268.00,993.00,2970.00,713.00,695.00,696.00,661.00,825.00,1678.00
West Virginia,38.49,-80.95,885.00,10296.00,941.00,13591.00,718.00,14701.00,342.00,2680.00,488.00,6703.00,557.00,8577.00,671.00,8286.00,8.00,219.00,18.00,443.00,520.00,6866.00,467.00,6370.00
Wyoming,42.76,-107.30,296.00,36941.00,370.00,23123.00,533.00,80382.00,680.00,135878.00,838.00,357117.00,468.00,44016.00,403.00,7836.00,512.00,35652.00,711.00,218077.00,599.00,90115.00,611.00,279243.00
